noteId,status,sourceUrl,authorNickname,fetchedAt,imageCount,license,reason,requester,timestamp
"s0010a5a5caa","ACTIVE","https://www.xiaohongshu.com/explore/s0010a5a5caa","西北追风日记 8197","2026-08-13","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0020d9a7940","ACTIVE","https://www.xiaohongshu.com/explore/s0020d9a7940","家庭旅行笔记 9169","2026-02-28","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0037e610bf3","ACTIVE","https://www.xiaohongshu.com/explore/s0037e610bf3","人文旅行者A 9176","2026-03-12","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s004f02ab255","ACTIVE","https://www.xiaohongshu.com/explore/s004f02ab255","古镇探访者 5419","2026-03-26","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s005b2207118","ACTIVE","https://www.xiaohongshu.com/explore/s005b2207118","西北追风日记 8257","2026-03-31","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s006197cf5e3","ACTIVE","https://www.xiaohongshu.com/explore/s006197cf5e3","贺兰山下的猫 6972","2026-07-02","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0078aee8836","ACTIVE","https://www.xiaohongshu.com/explore/s0078aee8836","中卫民宿小哥 3142","2026-04-13","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s0086125a443","ACTIVE","https://www.xiaohongshu.com/explore/s0086125a443","黄河边的小马哥 4082","2026-04-23","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0095a1ad92d","ACTIVE","https://www.xiaohongshu.com/explore/s0095a1ad92d","西北追风日记 4396","2026-07-08","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s01081064992","ACTIVE","https://www.xiaohongshu.com/explore/s01081064992","中卫民宿小哥 9748","2026-03-28","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s011ff03a46d","ACTIVE","https://www.xiaohongshu.com/explore/s011ff03a46d","中卫民宿小哥 2532","2026-04-27","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s0121bff8e79","ACTIVE","https://www.xiaohongshu.com/explore/s0121bff8e79","贺兰山下的猫 8213","2026-04-20","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s013f9d5c13d","ACTIVE","https://www.xiaohongshu.com/explore/s013f9d5c13d","自驾宁夏-老司机 4483","2026-05-29","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s014bc867d52","ACTIVE","https://www.xiaohongshu.com/explore/s014bc867d52","草原上的背包客 9432","2026-08-03","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0159a551f94","ACTIVE","https://www.xiaohongshu.com/explore/s0159a551f94","家庭旅行笔记 3117","2026-07-14","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s016611a4a7e","ACTIVE","https://www.xiaohongshu.com/explore/s016611a4a7e","宁夏旅行研究所 8574","2026-03-09","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s017c329fe6f","ACTIVE","https://www.xiaohongshu.com/explore/s017c329fe6f","周末去哪儿-宁夏站 1499","2026-03-24","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s018b55d8eb8","ACTIVE","https://www.xiaohongshu.com/explore/s018b55d8eb8","自驾宁夏-老司机 5045","2026-05-30","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s019d03b9b22","ACTIVE","https://www.xiaohongshu.com/explore/s019d03b9b22","草原上的背包客 8865","2026-07-21","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0204a600ecc","ACTIVE","https://www.xiaohongshu.com/explore/s0204a600ecc","宁夏旅行研究所 5201","2026-06-13","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0211097bac5","ACTIVE","https://www.xiaohongshu.com/explore/s0211097bac5","摄影师大漠 5656","2026-06-10","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0224c8bd0af","ACTIVE","https://www.xiaohongshu.com/explore/s0224c8bd0af","小众目的地发掘 1842","2026-06-30","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0235a643bec","ACTIVE","https://www.xiaohongshu.com/explore/s0235a643bec","西北追风日记 8256","2026-04-18","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s02426ba9965","ACTIVE","https://www.xiaohongshu.com/explore/s02426ba9965","古镇探访者 2792","2026-05-31","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s025f5cf30d7","ACTIVE","https://www.xiaohongshu.com/explore/s025f5cf30d7","摄影师大漠 9269","2026-02-27","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s026c045bbbf","ACTIVE","https://www.xiaohongshu.com/explore/s026c045bbbf","家庭旅行笔记 6269","2026-07-31","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0270a5a5caa","ACTIVE","https://www.xiaohongshu.com/explore/s0270a5a5caa","人文旅行者A 1750","2026-03-19","1","for-reference-only","","","2026-08-24T04:37:13Z"
"s0280d9a7940","ACTIVE","https://www.xiaohongshu.com/explore/s0280d9a7940","摄影师大漠 3105","2026-05-29","2","for-reference-only","","","2026-08-24T04:37:13Z"
"s0297e610bf3","ACTIVE","https://www.xiaohongshu.com/explore/s0297e610bf3","小众目的地发掘 1294","2026-04-21","2","for-reference-only","","","2026-08-24T04:37:13Z"
