# 格式：每行一条记录：<yyyy-mm-dd>T<hh:mm>|<keyword>|<url>
# 用于记录「打算手动打开并保存 HTML」的搜索/笔记 URL 池；
# 仅保存 URL 与搜索时间，不包含原文。

2026-07-26T10:26|宁夏 0a5a5caa|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%200a5a5caa&source=web_search_result_notes
2026-07-30T02:29|宁夏 银川|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E9%93%B6%E5%B7%9D&source=web_search_result_notes
2026-08-16T16:04|宁夏 0d9a7940|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%200d9a7940&source=web_search_result_notes
2026-08-06T21:22|宁夏 石嘴山|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E7%9F%B3%E5%98%B4%E5%B1%B1&source=web_search_result_notes
2026-08-18T12:57|宁夏 7e610bf3|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%207e610bf3&source=web_search_result_notes
2026-08-16T16:32|宁夏 吴忠|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E5%90%B4%E5%BF%A0&source=web_search_result_notes
2026-08-07T00:10|宁夏 f02ab255|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20f02ab255&source=web_search_result_notes
2026-07-31T12:32|宁夏 固原|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E5%9B%BA%E5%8E%9F&source=web_search_result_notes
2026-07-25T07:26|宁夏 b2207118|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20b2207118&source=web_search_result_notes
2026-08-14T19:24|宁夏 中卫|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E4%B8%AD%E5%8D%AB&source=web_search_result_notes
2026-08-13T05:25|宁夏 197cf5e3|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20197cf5e3&source=web_search_result_notes
2026-07-30T15:12|宁夏 沙坡头|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E6%B2%99%E5%9D%A1%E5%A4%B4&source=web_search_result_notes
2026-08-05T23:06|宁夏 8aee8836|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%208aee8836&source=web_search_result_notes
2026-08-01T02:39|宁夏 沙湖|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E6%B2%99%E6%B9%96&source=web_search_result_notes
2026-08-07T13:53|宁夏 6125a443|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%206125a443&source=web_search_result_notes
2026-07-26T07:50|宁夏 镇北堡西部影城|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E9%95%87%E5%8C%97%E5%A0%A1%E8%A5%BF%E9%83%A8%E5%BD%B1%E5%9F%8E&source=web_search_result_notes
2026-08-09T12:34|宁夏 5a1ad92d|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%205a1ad92d&source=web_search_result_notes
2026-08-18T04:46|宁夏 水洞沟|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E6%B0%B4%E6%B4%9E%E6%B2%9F&source=web_search_result_notes
2026-08-08T11:07|宁夏 81064992|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%2081064992&source=web_search_result_notes
2026-08-05T08:22|宁夏 六盘山国家森林公园|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E5%85%AD%E7%9B%98%E5%B1%B1%E5%9B%BD%E5%AE%B6%E6%A3%AE%E6%9E%97%E5%85%AC%E5%9B%AD&source=web_search_result_notes
2026-07-25T06:05|宁夏 ff03a46d|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20ff03a46d&source=web_search_result_notes
2026-07-27T05:45|宁夏 火石寨|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E7%81%AB%E7%9F%B3%E5%AF%A8&source=web_search_result_notes
2026-08-17T17:23|宁夏 1bff8e79|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%201bff8e79&source=web_search_result_notes
2026-08-06T23:24|宁夏 须弥山石窟|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E9%A1%BB%E5%BC%A5%E5%B1%B1%E7%9F%B3%E7%AA%9F&source=web_search_result_notes
2026-08-13T15:51|宁夏 f9d5c13d|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20f9d5c13d&source=web_search_result_notes
2026-08-04T11:30|宁夏 西夏陵|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E8%A5%BF%E5%A4%8F%E9%99%B5&source=web_search_result_notes
2026-08-02T00:36|宁夏 bc867d52|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20bc867d52&source=web_search_result_notes
2026-08-01T15:42|宁夏 宁夏1日游|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E5%AE%81%E5%A4%8F1%E6%97%A5%E6%B8%B8&source=web_search_result_notes
2026-08-03T08:42|宁夏 9a551f94|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%209a551f94&source=web_search_result_notes
2026-08-13T22:40|宁夏 宁夏2日游|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E5%AE%81%E5%A4%8F2%E6%97%A5%E6%B8%B8&source=web_search_result_notes
2026-08-23T09:25|宁夏 611a4a7e|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20611a4a7e&source=web_search_result_notes
2026-08-09T08:41|宁夏 宁夏3日游|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20%E5%AE%81%E5%A4%8F3%E6%97%A5%E6%B8%B8&source=web_search_result_notes
2026-08-03T00:51|宁夏 c329fe6f|https://www.xiaohongshu.com/search_result?keyword=%E5%AE%81%E5%A4%8F%20c329fe6f&source=web_search_result_notes
